12:59:17.897 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 5616 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
12:59:17.898 DEBUG [main] - Running with Spring Boot v3.1.4, Spring v6.0.12
12:59:17.898 INFO  [main] - No active profile set, falling back to 1 default profile: "default"
13:44:39.405 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 24177 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
13:44:39.405 DEBUG [main] - Running with Spring Boot v3.1.4, Spring v6.0.12
13:44:39.406 INFO  [main] - No active profile set, falling back to 1 default profile: "default"
13:45:05.620 INFO  [main] - Bot STARTED
13:45:08.193 INFO  [main] - THE DATE IS NOT CURRENT
13:45:11.576 INFO  [main] - EXECUTED makeApiCall() AND GOT RESULT
13:45:11.656 INFO  [main] - PROCESSED DATA ARRAY AND READY FOR MARSHALLING
13:45:11.659 INFO  [main] - ADDED: id=1 Bitcoin BTC
13:45:11.659 INFO  [main] - ADDED: id=1027 Ethereum ETH
13:45:11.660 INFO  [main] - ADDED: id=825 Tether USDt USDT
13:45:11.660 INFO  [main] - ADDED: id=1839 BNB BNB
13:45:11.660 INFO  [main] - ADDED: id=52 XRP XRP
13:45:11.660 INFO  [main] - ADDED: id=3408 USDC USDC
13:45:11.661 INFO  [main] - ADDED: id=5426 Solana SOL
13:45:11.661 INFO  [main] - ADDED: id=2010 Cardano ADA
13:45:11.661 INFO  [main] - ADDED: id=74 Dogecoin DOGE
13:45:11.661 INFO  [main] - ADDED: id=1958 TRON TRX
13:45:11.661 INFO  [main] - ADDED: id=11419 Toncoin TON
13:45:11.662 INFO  [main] - ADDED: id=4943 Dai DAI
13:45:11.662 INFO  [main] - ADDED: id=3890 Polygon MATIC
13:45:11.662 INFO  [main] - ADDED: id=6636 Polkadot DOT
13:45:11.662 INFO  [main] - ADDED: id=3717 Wrapped Bitcoin WBTC
13:45:11.663 INFO  [main] - ADDED: id=1831 Bitcoin Cash BCH
13:45:11.663 INFO  [main] - ADDED: id=2 Litecoin LTC
